"Time [min]","Event Name","Chamber","Event Text","O2 Concentration  (A) [nmol/ml]","O2 Slope uncorr.  (A) [pmol/(s*ml)]","O2 Concentration  (B) [nmol/ml]","O2 Slope uncorr.  (B) [pmol/(s*ml)]","TMRM  (A) [µM]","TMRM  (B) [µM]","mtMPrel (A)  [au]","mtMPrel  (B)  [au]"
26.87,"","","",106.7536,189.5334,39.1586,355.0173,1.9155,1.8157,0.9573,0.9175
26.90,"","","",106.3790,189.4420,38.4474,356.6511,1.9150,1.8152,0.9570,0.9172
26.93,"","","",106.0090,189.3050,37.7458,358.1407,1.9100,1.8148,0.9545,0.9170
26.97,"","","",105.6663,189.1222,37.0394,359.4382,1.9240,1.8147,0.9615,0.9169
27.00,"F 500","Both","",105.5613,188.3913,36.3330,360.1109,1.9369,1.8144,0.9680,0.9168
27.03,"","","",105.4105,187.2950,35.6171,360.3031,1.9377,1.8142,0.9684,0.9167
27.07,"","","",105.1273,186.0616,34.9011,360.3031,1.9377,1.8137,0.9684,0.9164
27.10,"","","",104.7893,184.7825,34.1899,360.2070,1.9376,1.8135,0.9683,0.9164
27.13,"","","",104.4147,183.6404,33.4835,360.0148,1.9371,1.8134,0.9681,0.9163
27.17,"","","",104.0538,182.5898,32.7867,359.8226,1.9369,1.8129,0.9680,0.9161
27.20,"","","",103.6838,181.6304,32.0803,359.5343,1.9366,1.8126,0.9678,0.9159
27.23,"","","",103.2955,180.7168,31.3788,359.2459,1.9361,1.8122,0.9676,0.9157
27.27,"","","",102.9254,179.7575,30.6772,358.9576,1.9358,1.8247,0.9675,0.9219
27.30,"","","",102.5417,178.9352,30.2447,358.1407,1.9357,1.8617,0.9674,0.9402
27.33,"","","",102.1808,178.1586,29.8987,356.6511,1.9354,1.8642,0.9672,0.9414
27.37,"","","",101.8017,177.4734,29.3605,354.9212,1.9353,1.8639,0.9672,0.9413
27.40,"","","",101.4317,176.8795,28.7262,353.1432,1.9349,1.8632,0.9670,0.9409
27.43,"","","",101.0571,176.3314,28.0487,351.4133,1.9346,1.8626,0.9669,0.9406
27.47,"","","",100.6962,175.8746,27.3567,349.7314,1.9343,1.8619,0.9667,0.9403
27.50,"","","",100.3307,175.4634,26.6551,348.1456,1.9341,1.8614,0.9666,0.9400
27.53,"","","",99.9424,175.1893,25.9295,346.7041,1.9340,1.8608,0.9665,0.9397
27.57,"","","",99.5404,175.0523,25.2087,345.3586,1.9336,1.8603,0.9663,0.9395
27.60,"","","",99.1704,174.9152,24.4927,344.1572,1.9334,1.8597,0.9662,0.9392
27.63,"","","",98.8095,174.7782,23.7719,343.0520,1.9332,1.8592,0.9661,0.9390
27.67,"","","",98.4532,174.6868,23.0559,342.0429,1.9331,1.8590,0.9661,0.9389
27.70,"","","",98.0969,174.5498,22.3544,341.1779,1.9328,1.8584,0.9659,0.9386
27.73,"","","",97.7360,174.5498,21.6384,340.4091,1.9326,1.8580,0.9659,0.9384
27.77,"","","",97.3705,174.5955,20.9272,339.6883,1.9325,1.8576,0.9658,0.9382
27.80,"","","",97.0142,174.7325,20.2160,339.1116,1.9324,1.8572,0.9657,0.9380
27.83,"","","",96.6168,175.0066,19.5096,338.5831,1.9321,1.8568,0.9656,0.9378
27.87,"","","",96.2239,175.3264,18.7936,338.1986,1.9319,1.8565,0.9655,0.9376
27.90,"","","",95.8585,175.6918,18.0872,337.9103,1.9316,1.8560,0.9654,0.9374
27.93,"","","",95.4976,176.0573,17.3857,337.7181,1.9315,1.8558,0.9653,0.9373
27.97,"","","",95.1321,176.4684,16.6793,337.5739,1.9313,1.8554,0.9652,0.9371
28.00,"","","",94.7667,176.9709,15.9729,337.5739,1.9312,1.8551,0.9651,0.9369
28.03,"","","",94.3875,177.6105,15.2713,337.6220,1.9310,1.8538,0.9651,0.9363
28.07,"","","",94.0266,178.2957,14.8677,337.2376,1.9307,1.8701,0.9649,0.9444
28.10,"","","",93.6840,179.0266,15.3194,334.8349,1.9305,1.8748,0.9648,0.9467
28.13,"Rot","Both","",93.3323,179.7118,15.6317,330.8465,1.9304,1.8748,0.9648,0.9467
28.17,"","","",92.9760,180.4884,15.7711,325.6087,1.9303,1.8746,0.9647,0.9466
28.20,"","","",92.6059,181.2650,15.8287,319.3618,1.9291,1.8743,0.9641,0.9464
28.23,"","","",92.3638,181.9045,15.8576,312.2499,1.9317,1.8741,0.9654,0.9463
28.27,"","","",92.9257,180.8995,15.8720,304.3692,1.9391,1.8740,0.9691,0.9463
28.30,"","","",93.4739,178.3414,15.8816,295.7676,1.9393,1.8738,0.9692,0.9462
28.33,"","","",93.7160,174.3671,15.8912,286.4934,1.9396,1.8736,0.9693,0.9461
28.37,"","","",93.8439,169.3421,15.9008,276.6905,1.9395,1.8734,0.9693,0.9460
28.40,"","","",93.8987,163.7232,15.9152,266.3591,1.9394,1.8732,0.9692,0.9459
28.43,"","","",93.9216,157.6019,15.9200,255.6432,1.9396,1.8730,0.9693,0.9458
28.47,"","","",93.9261,151.2064,15.9248,244.5429,1.9396,1.8729,0.9694,0.9457
28.50,"","","",93.9490,144.4912,15.9296,233.1543,1.9394,1.8726,0.9693,0.9456
28.53,"","","",93.9673,137.4562,15.9345,221.4773,1.9395,1.8724,0.9693,0.9455
28.57,"","","",93.9581,130.3299,15.9441,209.6562,1.9395,1.8721,0.9693,0.9453
28.60,"","","",93.9399,123.0208,15.9537,197.7390,1.9394,1.8719,0.9692,0.9452
28.63,"","","",93.9353,115.6661,15.9585,185.1971,1.9394,1.8718,0.9692,0.9452
28.67,"","","",93.9353,108.1743,15.9681,172.0306,1.9393,1.8715,0.9692,0.9451
28.70,"","","",93.9307,100.6368,15.9729,158.5276,1.9392,1.8713,0.9691,0.9449
28.73,"","","",93.9581,93.0079,15.9729,145.0246,1.9392,1.8711,0.9691,0.9449
28.77,"","","",93.9810,85.3791,15.9825,131.6178,1.9389,1.8709,0.9690,0.9448
28.80,"","","",93.9810,77.7959,15.9873,118.3551,1.9388,1.8707,0.9689,0.9446
28.83,"","","",93.9810,70.2585,15.9921,105.4288,1.9386,1.8705,0.9689,0.9446
28.87,"","","",93.9718,62.9037,16.0017,92.8388,1.9388,1.8704,0.9689,0.9445
28.90,"","","",93.9810,55.7317,16.0113,80.6814,1.9388,1.8701,0.9689,0.9443
28.93,"","","",93.9947,48.7424,16.0113,69.0525,1.9384,1.8698,0.9687,0.9442
28.97,"","","",93.9947,41.9358,16.0161,58.0002,1.9383,1.8696,0.9687,0.9441
29.00,"","","",93.9992,35.4033,16.0209,47.6208,1.9384,1.8693,0.9687,0.9440
29.03,"","","",93.9901,29.0992,16.0258,37.8659,1.9382,1.8691,0.9686,0.9438
29.07,"","","",93.9718,23.1606,16.0258,28.9280,1.9382,1.8689,0.9686,0.9438
29.10,"","","",93.9627,17.5875,16.0306,20.8070,1.9381,1.8687,0.9686,0.9437
29.13,"","","",93.9536,12.4254,16.0354,13.5991,1.9381,1.8685,0.9686,0.9436
29.17,"","","",93.9399,7.7202,16.0402,7.3521,1.9379,1.8682,0.9685,0.9434
29.20,"","","",93.9536,3.5175,16.0498,2.1143,1.9379,1.8680,0.9685,0.9433
29.23,"","","",93.9718,-0.2284,16.0498,-1.9702,1.9379,1.8677,0.9685,0.9432
29.27,"","","",93.9718,-3.4718,16.0594,-4.9495,1.9377,1.8676,0.9684,0.9431
29.30,"","","",93.9673,-6.1213,16.0594,-6.7275,1.9377,1.8674,0.9684,0.9430
29.33,"","","",93.9627,-8.1770,16.0642,-7.1599,1.9376,1.8672,0.9684,0.9429
29.37,"","","",93.9627,-9.5932,16.0690,-6.2469,1.9374,1.8671,0.9683,0.9429
29.40,"","","",93.9855,-10.4154,16.0738,-4.5170,1.9375,1.8669,0.9683,0.9428
29.43,"","","",93.9764,-10.5068,16.0786,-3.5559,1.9373,1.8667,0.9682,0.9427
29.47,"","","",93.9581,-9.9129,16.0834,-3.1235,1.9374,1.8665,0.9683,0.9426
29.50,"","","",93.9033,-8.4511,16.0882,-2.9312,1.9371,1.8663,0.9681,0.9425
29.53,"","","",93.9124,-6.2127,16.0930,-2.7871,1.9369,1.8661,0.9680,0.9424
29.57,"","","",93.9033,-3.3804,16.0978,-2.7390,1.9368,1.8660,0.9680,0.9423
29.60,"","","",93.9033,-1.4618,16.1026,-2.6910,1.9366,1.8656,0.9678,0.9421
29.63,"","","",93.9033,-0.5482,16.1074,-2.6429,1.9364,1.8654,0.9678,0.9420
29.67,"","","",93.8987,0.0000,16.1122,-2.5949,1.9364,1.8652,0.9678,0.9419
29.70,"","","",93.9307,0.2284,16.1122,-2.5468,1.9362,1.8650,0.9676,0.9419
29.73,"","","",93.9536,0.3198,16.1122,-2.4988,1.9362,1.8647,0.9676,0.9417
29.77,"","","",93.9627,0.3655,16.1171,-2.4507,1.9361,1.8644,0.9676,0.9415
29.80,"","","",93.9673,0.4111,16.1219,-2.4027,1.9361,1.8643,0.9676,0.9415
29.83,"","","",93.9536,0.4111,16.1267,-2.3546,1.9361,1.8641,0.9676,0.9414
29.87,"","","",93.9353,0.4568,16.1267,-2.3066,1.9359,1.8638,0.9675,0.9412
29.90,"","","",93.9033,0.5482,16.1363,-2.3066,1.9360,1.8636,0.9675,0.9412
29.93,"","","",93.8987,0.6395,16.1363,-2.2585,1.9358,1.8633,0.9674,0.9410
29.97,"","","",93.9261,0.7309,16.1411,-2.2104,1.9356,1.8631,0.9674,0.9409
30.00,"","","",93.9307,0.8223,16.1459,-2.2104,1.9356,1.8628,0.9674,0.9407
30.03,"","","",93.9307,0.9136,16.1507,-2.2104,1.9356,1.8627,0.9673,0.9407
30.07,"","","",93.9444,0.9136,16.1507,-2.1624,1.9355,1.8626,0.9673,0.9407
30.10,"","","",93.9307,0.8680,16.1555,-2.1143,1.9351,1.8624,0.9671,0.9406
30.13,"","","",93.9261,0.8680,16.1651,-2.1143,1.9350,1.8623,0.9671,0.9405
30.17,"","","",93.9353,0.8223,16.1651,-2.0663,1.9349,1.8621,0.9670,0.9404
30.20,"","","",93.9399,0.7766,16.1651,-2.0663,1.9347,1.8620,0.9669,0.9403
30.23,"","","",93.9307,0.7766,16.1699,-2.0663,1.9346,1.8616,0.9668,0.9401
30.27,"","","",93.9170,0.7309,16.1699,-2.0182,1.9344,1.8615,0.9667,0.9401
30.30,"","","",93.9079,0.6852,16.1747,-2.0182,1.9342,1.8612,0.9666,0.9400
30.33,"","","",93.9170,0.6395,16.1747,-1.9702,1.9342,1.8611,0.9666,0.9399
30.37,"","","",93.9444,0.5025,16.1747,-1.9702,1.9342,1.8610,0.9666,0.9399
30.40,"","","",93.9307,0.4568,16.1843,-1.9221,1.9340,1.8608,0.9665,0.9397
30.43,"","","",93.9079,0.5025,16.1891,-1.9221,1.9340,1.8605,0.9665,0.9396
30.47,"","","",93.9216,0.4568,16.1891,-1.8741,1.9339,1.8604,0.9665,0.9396
30.50,"","","",93.9124,0.5025,16.1939,-1.8741,1.9337,1.8602,0.9664,0.9395
30.53,"","","",93.9124,0.5025,16.1987,-1.8260,1.9336,1.8601,0.9663,0.9394
30.57,"","","",93.9079,0.5025,16.2035,-1.8260,1.9333,1.8598,0.9662,0.9393
30.60,"","","",93.9170,0.4568,16.2084,-1.8260,1.9332,1.8596,0.9661,0.9391
30.63,"","","",93.9170,0.4111,16.2132,-1.8260,1.9330,1.8594,0.9660,0.9391
30.67,"","","",93.9079,0.3655,16.2180,-1.7780,1.9328,1.8593,0.9659,0.9390
30.70,"","","",93.9216,0.3198,16.2180,-1.7780,1.9329,1.8589,0.9660,0.9388
30.73,"","","",93.9627,0.1370,16.2276,-1.7780,1.9330,1.8587,0.9660,0.9387
30.77,"","","",93.9581,0.0000,16.2324,-1.7780,1.9329,1.8585,0.9660,0.9386
30.80,"","","",93.9353,-0.0914,16.2324,-1.7780,1.9327,1.8583,0.9659,0.9385
30.83,"","","",93.9399,-0.0914,16.2420,-1.7780,1.9325,1.8583,0.9658,0.9385
30.87,"","","",93.9353,-0.0457,16.2420,-1.8260,1.9324,1.8579,0.9657,0.9383
30.90,"","","",93.9353,-0.0457,16.2468,-1.8260,1.9323,1.8577,0.9657,0.9382
30.93,"","","",93.9444,0.0000,16.2468,-1.8260,1.9321,1.8576,0.9656,0.9382
30.97,"","","",93.9216,0.0457,16.2516,-1.8260,1.9319,1.8574,0.9655,0.9381
31.00,"","","",93.9124,0.1370,16.2564,-1.8260,1.9318,1.8573,0.9654,0.9380
31.03,"","","",93.9033,0.1827,16.2612,-1.8741,1.9316,1.8571,0.9653,0.9379
31.07,"","","",93.9033,0.1827,16.2660,-1.8741,1.9318,1.8569,0.9654,0.9378
31.10,"","","",93.8987,0.1827,16.2708,-1.8741,1.9315,1.8567,0.9653,0.9378
31.13,"","","",93.9079,0.1370,16.2708,-1.8741,1.9313,1.8566,0.9652,0.9377
31.17,"","","",93.9124,0.0914,16.2756,-1.8741,1.9311,1.8564,0.9651,0.9376
31.20,"","","",93.9170,0.0914,16.2756,-1.8741,1.9312,1.8562,0.9651,0.9375
31.23,"","","",93.9307,0.0914,16.2804,-1.8741,1.9311,1.8560,0.9651,0.9374
31.27,"","","",93.9536,0.0914,16.2852,-1.8741,1.9309,1.8558,0.9650,0.9373
31.30,"","","",94.0084,-0.0457,16.2900,-1.8741,1.9309,1.8556,0.9650,0.9372
31.33,"","","",94.0586,-0.3198,16.2997,-1.9221,1.9310,1.8555,0.9650,0.9371
31.37,"","","",94.0906,-0.5939,16.2997,-1.9221,1.9308,1.8552,0.9649,0.9370
31.40,"","","",94.1271,-0.9593,16.3045,-1.9221,1.9307,1.8550,0.9649,0.9369
31.43,"","","",94.1637,-1.3705,16.3093,-1.9221,1.9304,1.8549,0.9647,0.9368
31.47,"","","",94.1911,-1.7816,16.3141,-1.9702,1.9303,1.8548,0.9647,0.9368
31.50,"","","",94.2094,-2.2384,16.3189,-1.9702,1.9302,1.8545,0.9646,0.9366
31.53,"AA","Both","",94.2414,-2.6952,16.3237,-2.0182,1.9248,1.8542,0.9619,0.9365
31.57,"","","",94.4606,-3.5175,16.3285,-2.0182,1.9126,1.8541,0.9558,0.9365
31.60,"","","",95.3880,-5.9843,16.3429,-2.0663,1.9225,1.8540,0.9608,0.9364
31.63,"","","",96.0092,-9.4561,16.3477,-2.0663,1.9239,1.8536,0.9615,0.9362
31.67,"","","",96.3016,-13.2477,16.3477,-2.1143,1.9237,1.8534,0.9614,0.9361
31.70,"","","",96.3930,-17.0393,16.3477,-2.1143,1.9235,1.8472,0.9613,0.9330
31.73,"","","",96.4249,-20.6024,16.6312,-2.5949,1.9234,1.8364,0.9612,0.9277
31.77,"","","",96.4386,-23.9372,17.5971,-4.8534,1.9232,1.8449,0.9611,0.9319
31.80,"","","",96.4660,-27.1349,18.1978,-8.0729,1.9229,1.8461,0.9610,0.9325
31.83,"","","",96.4798,-30.0586,18.4765,-11.6289,1.9226,1.8460,0.9608,0.9324
31.87,"","","",96.4843,-32.7995,18.6206,-15.2329,1.9225,1.8457,0.9608,0.9323
31.90,"","","",96.4843,-35.2663,18.6975,-18.7888,1.9224,1.8455,0.9608,0.9322
31.93,"","","",96.4798,-37.5047,18.7504,-22.2006,1.9224,1.8453,0.9607,0.9321
31.97,"","","",96.4935,-39.5147,18.7792,-25.4202,1.9221,1.8450,0.9606,0.9319
32.00,"","","",96.4980,-41.2506,18.7984,-28.4475,1.9219,1.8449,0.9605,0.9319
32.03,"","","",96.4889,-42.8038,18.8176,-31.2827,1.9217,1.8446,0.9604,0.9317
32.07,"","","",96.4889,-44.1742,18.8273,-33.8775,1.9215,1.8445,0.9603,0.9317
32.10,"","","",96.5117,-45.3619,18.8417,-36.2802,1.9212,1.8443,0.9601,0.9316
32.13,"","","",96.5209,-46.2299,18.8513,-38.4906,1.9213,1.8442,0.9602,0.9315
32.17,"","","",96.5072,-46.8694,18.8561,-40.4128,1.9211,1.8438,0.9601,0.9314
32.20,"","","",96.4980,-47.2806,18.8705,-42.1907,1.9209,1.8437,0.9600,0.9313
32.23,"","","",96.5072,-47.4176,18.8801,-43.6804,1.9206,1.8436,0.9598,0.9312
32.27,"","","",96.5072,-47.3262,18.8849,-44.9778,1.9204,1.8434,0.9597,0.9311
32.30,"","","",96.4889,-46.9608,18.8945,-46.0350,1.9201,1.8431,0.9596,0.9310
32.33,"","","",96.4615,-46.2299,18.9041,-46.9000,1.9198,1.8429,0.9594,0.9309
32.37,"","","",96.4752,-45.3162,18.9089,-47.5246,1.9199,1.8429,0.9595,0.9309
32.40,"","","",96.4706,-44.1285,18.9138,-47.9091,1.9199,1.8427,0.9595,0.9308
32.43,"","","",96.4569,-42.6667,18.9186,-48.0532,1.9197,1.8424,0.9594,0.9306
32.47,"","","",96.4478,-40.9765,18.9234,-47.9571,1.9194,1.8422,0.9592,0.9306
32.50,"","","",96.4569,-39.1035,18.9282,-47.6208,1.9192,1.8420,0.9591,0.9305
32.53,"","","",96.4752,-37.0022,18.9378,-47.0922,1.9191,1.8417,0.9591,0.9303
32.57,"","","",96.4798,-34.6724,18.9426,-46.3233,1.9189,1.8416,0.9590,0.9302
32.60,"","","",96.4752,-32.1599,18.9474,-45.3142,1.9187,1.8413,0.9589,0.9301
32.63,"","","",96.4935,-29.5561,18.9570,-44.0648,1.9185,1.8412,0.9588,0.9301
32.67,"","","",96.5072,-26.8152,18.9618,-42.6232,1.9183,1.8409,0.9587,0.9299
32.70,"","","",96.4843,-23.8915,18.9666,-40.8933,1.9181,1.8406,0.9586,0.9298
32.73,"","","",96.4706,-20.7852,18.9666,-38.9712,1.9180,1.8405,0.9585,0.9297
32.77,"","","",96.4660,-17.5418,18.9714,-36.8088,1.9179,1.8403,0.9585,0.9296
32.80,"","","",96.4569,-14.0700,18.9762,-34.4061,1.9177,1.8403,0.9584,0.9296
32.83,"","","",96.4432,-10.4154,18.9810,-31.7632,1.9175,1.8401,0.9583,0.9295
32.87,"","","",96.4386,-6.6238,18.9858,-28.8800,1.9175,1.8398,0.9583,0.9294
32.90,"","","",96.4295,-3.0150,18.9906,-25.8046,1.9171,1.8396,0.9581,0.9293
32.93,"","","",96.4112,-0.9593,18.9954,-22.4889,1.9172,1.8394,0.9581,0.9292
32.97,"","","",96.4067,0.0000,18.9906,-18.9330,1.9172,1.8392,0.9581,0.9291
33.00,"","","",96.4158,0.4111,18.9954,-15.1368,1.9173,1.8391,0.9582,0.9290
33.03,"","","",96.4341,0.5939,19.0002,-11.1003,1.9170,1.8389,0.9580,0.9289
33.07,"","","",96.4295,0.7766,19.0147,-7.3521,1.9167,1.8387,0.9579,0.9288
33.10,"","","",96.4386,0.8680,19.0147,-5.2859,1.9165,1.8384,0.9577,0.9287
33.13,"","","",96.4386,0.9593,19.0147,-4.2287,1.9166,1.8382,0.9578,0.9286
33.17,"","","",96.4021,1.0507,19.0195,-3.6520,1.9164,1.8380,0.9577,0.9285
33.20,"","","",96.3701,1.2334,19.0195,-3.2676,1.9161,1.8379,0.9576,0.9284
33.23,"","","",96.3930,1.3248,19.0243,-3.0274,1.9160,1.8378,0.9575,0.9284
33.27,"","","",96.3930,1.4161,19.0339,-2.8832,1.9156,1.8376,0.9573,0.9283
33.30,"","","",96.3930,1.4618,19.0339,-2.7390,1.9155,1.8374,0.9573,0.9282
33.33,"","","",96.4021,1.5075,19.0339,-2.6429,1.9155,1.8373,0.9573,0.9281
33.37,"","","",96.3884,1.5532,19.0435,-2.5468,1.9154,1.8368,0.9572,0.9279
33.40,"","","",96.3747,1.6445,19.0531,-2.4507,1.9153,1.8368,0.9572,0.9279
33.43,"","","",96.3884,1.6445,19.0579,-2.4027,1.9152,1.8366,0.9571,0.9278
33.47,"","","",96.3884,1.5989,19.0579,-2.3546,1.9150,1.8364,0.9570,0.9277
33.50,"","","",96.3975,1.5532,19.0627,-2.3066,1.9146,1.8361,0.9568,0.9276
33.53,"","","",96.3793,1.5532,19.0675,-2.2585,1.9146,1.8360,0.9568,0.9275
33.57,"","","",96.3701,1.5532,19.0723,-2.2585,1.9146,1.8359,0.9568,0.9275
33.60,"","","",96.3747,1.5075,19.0771,-2.2104,1.9146,1.8357,0.9568,0.9273
33.63,"","","",96.3793,1.5075,19.0867,-2.2104,1.9143,1.8356,0.9567,0.9273
33.67,"","","",96.3838,1.5075,19.0867,-2.1624,1.9142,1.8354,0.9566,0.9272
33.70,"","","",96.3747,1.5075,19.0915,-2.1624,1.9142,1.8352,0.9566,0.9271
33.73,"","","",96.3747,1.5532,19.0915,-2.1624,1.9142,1.8348,0.9566,0.9269
33.77,"","","",96.3884,1.5075,19.1012,-2.1624,1.9138,1.8347,0.9564,0.9269
33.80,"","","",96.3838,1.5532,19.1060,-2.1624,1.9137,1.8346,0.9564,0.9268
33.83,"","","",96.3747,1.5532,19.1108,-2.1143,1.9135,1.8344,0.9563,0.9267
33.87,"","","",96.3473,1.5532,19.1108,-2.1143,1.9135,1.8343,0.9563,0.9266
33.90,"","","",96.3290,1.5989,19.1156,-2.1143,1.9135,1.8340,0.9562,0.9265
33.93,"","","",96.3199,1.6445,19.1204,-2.1143,1.9132,1.8339,0.9561,0.9264
33.97,"","","",96.3381,1.5989,19.1204,-2.1143,1.9130,1.8337,0.9560,0.9263
34.00,"","","",96.3564,1.4618,19.1252,-2.1143,1.9129,1.8334,0.9560,0.9262
34.03,"","","",96.3290,1.4161,19.1300,-2.1143,1.9126,1.8334,0.9558,0.9262
34.07,"","","",96.3107,1.4161,19.1348,-2.1143,1.9126,1.8332,0.9558,0.9261
